id,role_0,role_1,role_2,role_3,role_4,role_5,role_6,role_7,role_8,role_9,role_10,role_11,role_12,role_13,role_14,role_15,role_16,role_17,role_18,role_19,role_20,role_21,role_22,role_23,role_24,role_25,role_26,role_27,role_28,role_29,role_30,role_31,role_32
Lionel Andrés Messi Cuccittini,0.0045871559633027525,0.01834862385321101,0.0,0.0,0.0045871559633027525,0.0,0.01834862385321101,0.013761467889908258,0.0,0.0045871559633027525,0.0,0.0,0.0,0.009174311926605505,0.0,0.01834862385321101,0.0,0.0,0.0,0.013761467889908258,0.009174311926605505,0.0045871559633027525,0.0,0.0,0.0045871559633027525,0.0045871559633027525,0.0045871559633027525,0.0,0.0,0.0,0.0,0.0,0.0
Frenkie de Jong,0.0045871559633027525,0.0045871559633027525,0.0,0.0,0.0,0.0,0.0045871559633027525,0.0,0.0045871559633027525,0.0045871559633027525,0.0,0.0,0.0,0.0,0.0,0.0,0.0045871559633027525,0.013761467889908258,0.013761467889908258,0.009174311926605505,0.013761467889908258,0.013761467889908258,0.0,0.0,0.009174311926605505,0.0045871559633027525,0.0,0.0,0.0,0.0,0.0,0.009174311926605505,0.0
Arthur Henrique Ramos de Oliveira Melo,0.0045871559633027525,0.009174311926605505,0.0045871559633027525,0.0,0.0045871559633027525,0.0045871559633027525,0.0045871559633027525,0.009174311926605505,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0045871559633027525,0.013761467889908258,0.0,0.0,0.022935779816513763,0.0045871559633027525,0.0045871559633027525,0.0,0.0045871559633027525,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.009174311926605505,0.0
Gerard Piqué Bernabéu,0.009174311926605505,0.0,0.0,0.0,0.0,0.0045871559633027525,0.0,0.0,0.0,0.01834862385321101,0.0,0.0,0.0,0.0,0.0045871559633027525,0.0,0.009174311926605505,0.0045871559633027525,0.0045871559633027525,0.0,0.013761467889908258,0.022935779816513763,0.0,0.0,0.0,0.009174311926605505,0.0,0.0,0.0,0.0,0.0,0.013761467889908258,0.0
Sergio Busquets i Burgos,0.0045871559633027525,0.0045871559633027525,0.0045871559633027525,0.0,0.0,0.0045871559633027525,0.0,0.0,0.0045871559633027525,0.0045871559633027525,0.0,0.0,0.0045871559633027525,0.0,0.0,0.0,0.009174311926605505,0.0045871559633027525,0.0045871559633027525,0.009174311926605505,0.022935779816513763,0.0045871559633027525,0.0,0.0,0.0045871559633027525,0.0,0.0,0.0,0.0,0.0,0.0,0.013761467889908258,0.0
Nélson Cabral Semedo,0.0,0.0045871559633027525,0.0045871559633027525,0.0,0.0,0.0,0.0,0.0,0.0045871559633027525,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.013761467889908258,0.0,0.022935779816513763,0.0,0.0,0.0,0.0045871559633027525,0.0,0.0045871559633027525,0.0,0.0,0.0,0.0,0.0045871559633027525,0.0
Antoine Griezmann,0.0045871559633027525,0.009174311926605505,0.0,0.0,0.01834862385321101,0.0045871559633027525,0.0,0.009174311926605505,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.009174311926605505,0.0,0.0,0.0,0.0,0.0,0.009174311926605505,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Samuel Yves Umtiti,0.009174311926605505,0.0,0.0,0.0045871559633027525,0.0,0.0045871559633027525,0.0,0.0,0.01834862385321101,0.01834862385321101,0.0,0.0,0.0,0.0,0.0,0.0,0.0045871559633027525,0.009174311926605505,0.009174311926605505,0.0,0.009174311926605505,0.013761467889908258,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.013761467889908258,0.0
Jordi Alba Ramos,0.0045871559633027525,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.013761467889908258,0.0045871559633027525,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01834862385321101,0.0,0.0,0.0,0.0,0.0045871559633027525,0.0,0.0,0.0,0.0,0.0,0.0045871559633027525,0.0
Marc-André ter Stegen,0.0,0.0045871559633027525,0.0045871559633027525,0.0,0.0,0.0,0.0,0.013761467889908258,0.009174311926605505,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.013761467889908258,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Arturo Erasmo Vidal Pardo/Martin Braithwaite Christensen,0.013761467889908258,0.0045871559633027525,0.0,0.0045871559633027525,0.0,0.0045871559633027525,0.0,0.009174311926605505,0.0,0.0,0.0,0.0,0.0045871559633027525,0.0,0.0045871559633027525,0.0,0.0045871559633027525,0.013761467889908258,0.009174311926605505,0.0,0.0,0.0,0.0,0.009174311926605505,0.0,0.0,0.0,0.0045871559633027525,0.0,0.0,0.0,0.0,0.0
