id,role_0,role_1,role_2,role_3,role_4,role_5,role_6,role_7,role_8,role_9,role_10,role_11,role_12,role_13,role_14,role_15,role_16,role_17,role_18,role_19,role_20,role_21,role_22,role_23,role_24,role_25,role_26,role_27,role_28,role_29,role_30,role_31,role_32,role_33
Luis Alberto Suárez Díaz,0,1,0,1,0,1,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Sergio Busquets i Burgos,4,0,6,0,3,0,2,0,0,2,7,0,0,0,0,0,0,1,0,1,0,0,2,0,0,0,0,0,3,0,4,0,1,0
Gerard Piqué Bernabéu,1,2,0,0,0,1,0,1,3,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
Thomas Vermaelen,1,1,2,3,0,0,1,1,2,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0
Jordi Alba Ramos,2,1,6,1,1,0,0,2,0,2,4,0,0,0,0,0,0,1,3,0,2,1,1,0,0,1,0,0,0,0,1,1,1,0
Ivan Rakitić,1,0,6,0,0,0,1,0,0,2,2,0,0,0,0,0,0,1,0,1,0,5,0,0,0,0,0,0,0,0,0,2,1,0
Marc-André ter Stegen,2,1,0,0,1,1,2,1,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
José Paulo Bezzera Maciel Júnior,0,3,4,2,0,2,0,0,3,0,0,0,0,0,0,0,0,0,0,1,3,3,0,0,0,1,0,2,0,0,0,0,1,0
Sergi Roberto Carnicer,1,1,6,1,0,0,0,1,2,0,1,0,0,0,0,0,0,1,0,2,0,1,1,0,0,0,1,2,0,1,0,0,2,0
Andrés Iniesta Luján,0,0,6,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,1,0,5,0,0,0,0,0,0,0,0,0,2,1,0
Lionel Andrés Messi Cuccittini,0,2,8,2,0,1,0,0,1,2,0,0,0,0,0,0,1,0,0,2,3,0,4,0,0,0,0,2,0,3,0,0,2,0
