id,role_0,role_1,role_2,role_3,role_4,role_5,role_6,role_7,role_8,role_9,role_10,role_11,role_12,role_13,role_14,role_15,role_16,role_17,role_18,role_19,role_20,role_21,role_22,role_23,role_24,role_25,role_26,role_27,role_28,role_29,role_30,role_31,role_32
Mario Mandžukić,0.0,0.009708737864077669,0.0,0.0,0.019417475728155338,0.0,0.0,0.009708737864077669,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Marcelo Brozović,0.009708737864077669,0.009708737864077669,0.0,0.0,0.0,0.009708737864077669,0.0,0.009708737864077669,0.019417475728155338,0.02912621359223301,0.0,0.0,0.0,0.0,0.0,0.0,0.009708737864077669,0.0,0.0,0.02912621359223301,0.009708737864077669,0.038834951456310676,0.0,0.009708737864077669,0.009708737864077669,0.0,0.0,0.0,0.0,0.0,0.0,0.009708737864077669,0.0
Ivan Strinić,0.009708737864077669,0.019417475728155338,0.0,0.0,0.0,0.0,0.019417475728155338,0.02912621359223301,0.0,0.009708737864077669,0.0,0.0,0.0,0.0,0.0,0.009708737864077669,0.0,0.0,0.009708737864077669,0.009708737864077669,0.009708737864077669,0.0,0.0,0.0,0.009708737864077669,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Domagoj Vida,0.009708737864077669,0.009708737864077669,0.0,0.0,0.0,0.0,0.0,0.009708737864077669,0.009708737864077669,0.009708737864077669,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02912621359223301,0.009708737864077669,0.009708737864077669,0.0,0.009708737864077669,0.0,0.009708737864077669,0.0,0.009708737864077669,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Dejan Lovren,0.009708737864077669,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.019417475728155338,0.009708737864077669,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.009708737864077669,0.009708737864077669,0.0,0.019417475728155338,0.019417475728155338,0.0,0.0,0.0,0.009708737864077669,0.0,0.0,0.0,0.0,0.0,0.009708737864077669,0.0
Šime Vrsaljko,0.009708737864077669,0.009708737864077669,0.0,0.0,0.0,0.0,0.0,0.0,0.019417475728155338,0.019417475728155338,0.0,0.0,0.009708737864077669,0.0,0.0,0.0,0.0,0.0,0.009708737864077669,0.009708737864077669,0.019417475728155338,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.009708737864077669,0.0
Ante Rebić,0.0,0.019417475728155338,0.0,0.0,0.0,0.0,0.0,0.02912621359223301,0.0,0.0,0.0,0.0,0.0,0.009708737864077669,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Ivan Rakitić,0.009708737864077669,0.0,0.0,0.0,0.0,0.009708737864077669,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.009708737864077669,0.009708737864077669,0.009708737864077669,0.0,0.02912621359223301,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Danijel Subašić,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.009708737864077669,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02912621359223301,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Ivan Perišić,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Luka Modrić,0.019417475728155338,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.009708737864077669,0.009708737864077669,0.0,0.0,0.0,0.0,0.009708737864077669,0.0,0.0,0.009708737864077669,0.009708737864077669,0.0,0.019417475728155338,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
