id,role_0,role_1,role_2,role_3,role_4,role_5,role_6,role_7,role_8,role_9,role_10,role_11,role_12,role_13,role_14,role_15,role_16,role_17,role_18,role_19,role_20,role_21,role_22,role_23,role_24,role_25,role_26,role_27,role_28,role_29,role_30,role_31,role_32,role_33
Thomas Teye Partey,1,1,6,0,0,1,0,1,0,1,1,0,0,0,0,0,0,1,0,1,3,1,1,0,0,0,0,0,0,0,0,0,1,0
Saúl Ñíguez Esclapez,1,0,4,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,3,0,1,0,0,0,0,0,0,0,0,0,0,1,0
Mario Hermoso Canseco,2,1,0,1,1,0,1,2,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Jan Oblak,2,0,0,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Jorge Resurrección Merodio,0,2,4,2,0,1,0,0,2,2,0,0,0,0,0,0,0,0,0,1,3,0,0,0,0,0,0,0,0,0,0,0,1,0
Álvaro Borja Morata Martín,0,4,2,1,0,1,0,0,3,2,0,0,0,0,0,0,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0
Felipe Augusto de Almeida Monteiro,1,1,0,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Kieran Trippier,1,0,4,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
João Félix Sequeira/Víctor Machín Pérez,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ángel Martín Correa/Thomas Lemar,0,2,2,1,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Héctor Miguel Herrera López/Renan Augusto Lodi dos Santos,2,0,6,0,1,0,0,0,0,0,4,0,0,0,0,0,0,0,1,3,0,1,1,0,0,0,0,0,0,0,0,0,0,0
