id,role_0,role_1,role_2,role_3,role_4,role_5,role_6,role_7,role_8,role_9,role_10,role_11,role_12,role_13,role_14,role_15,role_16,role_17,role_18,role_19,role_20,role_21,role_22,role_23,role_24,role_25,role_26,role_27,role_28,role_29,role_30,role_31,role_32,role_33
Mario Mandžukić,0,2,4,1,0,3,1,1,1,2,0,0,0,2,0,1,4,1,1,0,3,2,0,0,5,0,1,0,0,0,0,0,1,0
Marcelo Brozović,0,1,2,0,0,0,0,0,0,0,2,0,0,1,0,0,0,3,0,0,3,0,6,1,0,7,1,1,0,0,0,0,12,0
Ivan Strinić,0,2,1,1,0,1,2,2,1,1,1,0,0,0,0,1,0,5,2,2,1,7,2,0,0,0,1,1,0,0,0,0,4,0
Domagoj Vida,0,1,0,0,0,0,1,0,0,5,1,0,0,0,0,0,0,1,1,3,0,8,1,0,0,0,1,0,0,0,0,0,4,0
Dejan Lovren,0,1,1,0,0,1,0,0,0,1,2,0,0,1,0,0,0,2,0,1,2,4,5,0,0,4,2,0,0,0,0,0,10,0
Šime Vrsaljko,0,2,0,0,1,0,1,0,0,0,2,0,0,0,0,0,0,3,1,2,0,5,1,0,0,0,4,0,0,0,0,0,7,0
Ante Rebić,0,2,4,2,0,2,1,0,4,0,0,0,0,1,2,0,2,0,3,0,0,1,0,1,6,2,0,0,1,0,0,0,0,0
Ivan Rakitić,0,1,2,0,0,0,0,2,1,0,0,0,0,0,1,0,0,2,0,0,3,3,2,0,0,4,2,2,0,0,0,0,8,0
Danijel Subašić,0,3,1,1,1,0,3,1,2,2,3,0,0,0,0,1,0,1,3,2,1,3,0,0,2,0,1,0,1,0,0,0,3,0
Ivan Perišić,0,2,5,1,0,2,0,3,3,0,0,0,0,1,3,1,6,0,2,1,0,0,0,1,5,1,1,0,0,0,0,0,0,0
Luka Modrić,0,3,0,0,1,0,0,0,0,1,1,0,0,0,0,2,0,6,0,2,0,5,2,0,0,0,4,0,0,0,0,0,8,0
